,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_isrna_rp14_bound.pdb,13.497,1.84572569078556e-06,0.743,0.97,,0.72,18.171,18.55,0.332,0.18,0.279,0.311,0.557,0.0,0.233,1.333,1.247,1.391,0.527,0.715
normalized_3drna_rp14_bound_3.pdb,12.392,7.941024571245239e-08,0.608,0.874,0.0,0.576,20.376,31.76,0.266,0.131,0.197,0.295,0.443,0.0,0.198,1.236,1.675,0.884,0.376,0.644
normalized_ifoldrna_rp14_bound_3.pdb,19.679,0.1163447583331436,0.177,0.0,0.0,0.331,111.323,33.08,0.156,0.082,0.115,0.18,0.246,0.0,0.142,2.04,2.207,0.131,0.0,0.547
normalized_rnajp_rp14_bound.pdb,14.478,2.2249128121598627e-05,0.615,0.759,0.0,0.625,23.527,23.6,0.307,0.164,0.246,0.328,0.492,0.0,0.234,1.483,1.56,1.592,0.037,0.689
normalized_trrosettarna_rp14_bound_1.pdb,2.082,0.0,0.674,0.843,0.53,0.638,3.091,29.36,0.885,0.607,0.934,1.0,1.0,0.0,0.806,0.169,1.27,1.048,0.706,0.853
normalized_mcsym_rp14_bound_1.pdb,12.236,4.947285742185059e-08,0.568,0.779,0.0,0.544,21.554,35.68,0.311,0.131,0.246,0.41,0.459,0.0,0.229,1.272,1.606,1.345,0.011,0.685
normalized_vfold_rp14_bound.pdb,16.349,0.0011676958599932,0.585,0.779,0.0,0.572,27.96,24.52,0.283,0.164,0.246,0.311,0.41,0.0,0.225,1.766,1.642,1.309,0.139,0.683
normalized_vfoldpipeline_rp14_bound.pdb,2.631,0.0,0.908,0.97,0.75,0.913,2.897,17.31,0.77,0.361,0.738,0.984,1.0,0.0,0.665,0.216,0.552,1.502,0.785,0.887
normalized_rnacomposer_rp14_bound.pdb,16.466,0.0014466914914201,0.696,0.97,0.354,0.638,23.645,18.42,0.348,0.23,0.295,0.377,0.492,0.0,0.305,1.768,1.189,1.107,0.593,0.745
normalized_rhofold_rp14_bound.pdb,6.433,0.0,0.679,0.824,0.144,0.71,9.474,57.6,0.451,0.164,0.328,0.492,0.82,0.0,0.31,0.648,1.294,1.029,0.586,0.734
