,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_simrna_rp14_free.pdb,9.65,9.284845114976291e-11,0.736,0.853,0.289,0.734,13.111,25.32,0.774,0.429,0.667,1.0,1.0,0.0,0.279,0.986,1.41,1.413,0.045,0.3
normalized_3drna_rp14_free_1.pdb,3.767,0.0,0.884,0.938,0.913,0.86,4.262,21.18,0.952,0.857,0.952,1.0,1.0,0.0,0.528,0.389,0.653,1.202,0.834,0.312
normalized_ifoldrna_rp14_free_5.pdb,23.34,0.891219635302984,0.271,0.0,0.0,0.408,86.233,32.49,0.393,0.191,0.286,0.476,0.619,0.0,0.165,2.382,2.223,0.279,0.0,0.23
normalized_rnacomposer_rp14_free.pdb,14.399,9.409515041597372e-05,0.784,0.97,0.408,0.748,18.373,24.14,0.869,0.619,0.857,1.0,1.0,0.0,0.302,1.486,1.196,0.99,0.633,0.298
normalized_isrna_rp14_free.pdb,15.444,0.0008049993558252,0.713,0.943,0.0,0.682,21.654,24.89,0.762,0.571,0.762,0.809,0.905,0.0,0.219,1.644,1.195,1.205,0.52,0.298
normalized_mcsym_rp14_free_4.pdb,13.22,5.682987474886492e-06,0.682,0.86,0.236,0.659,19.379,38.21,0.798,0.571,0.762,0.857,1.0,0.0,0.244,1.413,1.327,1.263,0.012,0.301
normalized_vfold_rp14_free.pdb,19.278,0.1530103432480521,0.686,0.884,0.0,0.68,28.114,33.18,0.714,0.381,0.714,0.857,0.905,0.0,0.227,2.032,1.467,0.908,0.003,0.284
normalized_rhofold_rp14_free.pdb,15.42,0.0007692245435689,0.658,0.849,0.0,0.634,23.421,50.77,0.774,0.429,0.762,0.905,1.0,0.0,0.261,1.621,1.22,0.836,0.485,0.286
normalized_trrosettarna_rp14_free_1.pdb,2.526,0.0,0.647,0.869,0.0,0.618,3.901,31.26,0.869,0.571,0.905,1.0,1.0,0.0,0.662,0.207,1.21,1.035,0.709,0.289
normalized_vfoldpipeline_rp14_free.pdb,2.726,0.0,0.87,0.938,0.913,0.841,3.133,22.26,0.881,0.619,0.905,1.0,1.0,0.0,0.626,0.237,0.75,1.314,0.651,0.287
normalized_rnajp_rp14_free.pdb,15.37,0.000699093064567,0.717,0.818,0.408,0.712,21.444,23.34,0.786,0.524,0.809,0.857,0.952,0.0,0.228,1.595,1.367,1.408,0.086,0.299
normalized_alphafold3_rp14_free_2.pdb,3.838,0.0,0.883,0.938,1.0,0.85,4.346,19.15,0.905,0.809,0.857,0.952,1.0,0.0,0.478,0.417,0.568,1.434,0.799,0.311
