,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_rhofold_R1190.pdb,22.588,1.5453133994647317e-08,0.429,0.439,0.0,0.484,52.706,61.71,0.201,0.076,0.178,0.246,0.305,0.0,0.245,2.398,2.116,1.16,0.387,0.64
normalized_3drna_r1190_5.pdb,22.356,7.338153473757103e-09,0.629,0.769,,0.57,35.547,43.93,0.244,0.11,0.22,0.28,0.364,0.0,0.297,2.277,1.44,2.778,0.529,0.691
normalized_rnacomposer_r1190.pdb,35.591,0.9542629766666676,0.678,0.8,0.0,0.653,52.523,36.54,0.203,0.085,0.152,0.271,0.305,0.0,0.204,3.596,1.427,2.601,0.553,0.703
normalized_rnajp_r1190.pdb,29.941,0.0733155988987844,0.684,0.8,0.0,0.659,43.777,34.06,0.229,0.119,0.195,0.288,0.314,0.0,0.237,3.075,1.432,3.457,0.056,0.708
normalized_simrna_r1190.pdb,29.316,0.0360346311675575,0.594,0.675,0.0,0.596,49.389,38.11,0.178,0.085,0.144,0.186,0.297,0.0,0.248,3.016,1.928,3.624,0.003,0.688
normalized_vfoldpipeline_r1190.pdb,30.381,0.1137604239608426,0.65,0.788,0.0,0.587,46.775,39.96,0.233,0.119,0.229,0.28,0.305,0.0,0.249,3.096,1.35,2.572,0.508,0.701
normalized_trrosettarna_r1190_1.pdb,29.629,0.0521016100036902,0.566,0.718,0.0,0.56,52.376,38.33,0.199,0.102,0.161,0.229,0.305,0.0,0.193,3.025,1.478,2.06,0.514,0.684
normalized_vfold_r1190_2.pdb,29.008,0.0244274136190925,0.624,0.8,0.0,0.565,46.484,40.79,0.225,0.11,0.178,0.297,0.314,0.0,0.241,2.98,1.405,2.304,0.008,0.705
normalized_isrna_r1190.pdb,29.184,0.0306059919901562,0.642,0.8,0.0,0.588,45.43,37.46,0.233,0.11,0.212,0.288,0.322,0.0,0.25,2.987,1.552,2.777,0.443,0.688
normalized_alphafold3_r1190_4.pdb,26.485,0.000374176265097,0.661,0.765,0.0,0.634,40.056,32.5,0.246,0.152,0.229,0.28,0.322,0.0,0.289,2.742,1.564,4.073,0.569,0.708
