,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_isrna_3LA5.pdb,25.327,0.7617863776621737,0.735,0.877,0.0,0.732,34.466,24.69,0.162,0.113,0.141,0.169,0.225,0.0,0.211,2.587,1.605,1.681,0.331,0.033
normalized_trrosettarna_3LA5_1.pdb,1.644,0.0,0.696,0.836,0.158,0.699,2.362,25.28,0.194,0.099,0.127,0.197,0.352,0.0,0.793,0.155,1.221,1.677,0.763,0.032
normalized_rnajp_3LA5.pdb,11.183,4.489186800071821e-13,0.782,0.878,0.0,0.825,14.304,20.01,0.155,0.113,0.127,0.155,0.225,0.0,0.269,1.206,1.38,2.299,0.062,0.03
normalized_rhofold_3LA5.pdb,3.021,0.0,0.796,0.941,0.289,0.793,3.797,45.07,0.194,0.085,0.127,0.225,0.338,0.0,0.581,0.308,0.984,1.559,0.66,0.035
normalized_vfoldpipeline_3LA5.pdb,5.831,0.0,0.813,0.921,0.408,0.807,7.175,17.12,0.18,0.085,0.141,0.197,0.296,0.0,0.666,0.511,1.183,2.298,0.672,0.031
normalized_simrna_3LA5.pdb,7.951,0.0,0.691,0.841,0.0,0.717,11.513,21.26,0.148,0.099,0.113,0.169,0.211,0.0,0.317,0.846,1.711,1.96,0.025,0.037
normalized_3drna_3LA5_2.pdb,5.195,0.0,0.814,0.941,0.433,0.807,6.379,18.12,0.159,0.085,0.127,0.183,0.239,0.0,0.66,0.485,1.129,1.991,0.719,0.033
normalized_vfold_3LA5.pdb,4.04,0.0,0.694,0.878,0.0,0.678,5.818,25.87,0.172,0.085,0.113,0.169,0.324,0.0,0.563,0.38,1.516,1.409,0.004,0.038
normalized_rnacomposer_3LA5.pdb,26.291,0.8939594000984454,0.687,0.859,,0.648,38.294,18.54,0.151,0.113,0.113,0.169,0.211,0.0,0.253,2.693,1.529,1.532,0.443,0.032
normalized_alphafold3_3LA5_1.pdb,2.284,0.0,0.927,1.0,0.707,0.923,2.463,8.49,0.201,0.113,0.127,0.197,0.366,0.0,0.748,0.221,0.54,2.548,0.812,0.034
