,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_vfoldpipeline_7D7W_3.pdb,5.011,7.2164496600635185e-16,0.738,0.894,0.0,0.699,6.789,19.87,0.343,0.118,0.216,0.392,0.647,0.0,0.368,0.476,1.298,1.783,0.609,0.061
normalized_simrna_7D7W.pdb,12.468,6.103589244732532e-05,0.784,0.896,0.408,0.756,15.903,22.55,0.275,0.118,0.196,0.275,0.51,0.0,0.24,1.332,1.359,1.624,0.12,0.073
normalized_rnacomposer_7D7W.pdb,4.546,1.1102230246251563e-16,0.761,0.868,0.408,0.735,5.974,21.1,0.353,0.137,0.176,0.333,0.765,0.0,0.379,0.42,1.18,1.33,0.658,0.071
normalized_3drna_7D7W_3.pdb,5.727,1.6375789613221062e-14,0.821,0.894,0.0,0.818,6.975,30.67,0.333,0.118,0.196,0.294,0.726,0.0,0.31,0.555,1.197,1.37,0.578,0.061
normalized_trrosettarna_7D7W_1.pdb,1.704,0.0,0.675,0.71,0.408,0.684,2.525,29.65,0.495,0.196,0.372,0.431,0.98,0.0,0.751,0.159,1.053,1.281,0.737,0.076
normalized_isrna_7D7W.pdb,12.439,5.718032009804919e-05,0.727,0.868,,0.677,17.114,24.25,0.328,0.118,0.235,0.353,0.608,0.0,0.268,1.308,1.34,1.54,0.474,0.079
normalized_vfold_7D7W_2.pdb,10.794,9.12806762398688e-07,0.708,0.894,0.0,0.666,15.239,27.21,0.255,0.137,0.157,0.255,0.471,0.0,0.23,1.109,1.327,1.225,0.004,0.072
normalized_rnajp_7D7W.pdb,5.695,1.426636586643326e-14,0.8,0.868,0.5,0.786,7.118,21.53,0.392,0.176,0.255,0.372,0.765,0.0,0.403,0.557,1.119,1.928,0.092,0.073
normalized_rhofold_7D7W.pdb,3.741,0.0,0.83,0.923,0.5,0.8,4.51,45.21,0.397,0.157,0.314,0.451,0.667,0.0,0.469,0.345,0.964,1.395,0.665,0.078
normalized_mcsym_7D7W_2.pdb,10.894,1.198975862592988e-06,0.634,0.577,0.5,0.668,17.173,32.23,0.338,0.118,0.255,0.314,0.667,0.0,0.344,1.098,1.593,1.417,0.008,0.072
