,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_rnajp_7KGA.pdb,30.124,0.9185692149659668,0.715,0.794,0.0,0.712,42.115,24.51,0.25,0.124,0.169,0.258,0.449,0.0,0.246,3.034,1.48,3.238,0.022,0.699
normalized_vfoldpipeline_7KGA_3.pdb,28.534,0.6957509647347522,0.661,0.794,0.0,0.622,43.161,20.35,0.315,0.112,0.202,0.371,0.573,0.0,0.317,2.861,1.471,2.997,0.481,0.709
normalized_rhofold_7KGA.pdb,4.211,0.0,0.726,0.79,0.0,0.713,5.799,54.71,0.59,0.157,0.393,0.832,0.978,0.0,0.571,0.406,1.158,1.9,0.592,0.773
normalized_3drna_7KGA_1.pdb,19.449,2.8830972246263187e-06,0.626,0.709,0.0,0.602,31.074,34.46,0.222,0.079,0.157,0.258,0.393,0.0,0.261,2.007,1.545,2.274,0.401,0.68
normalized_isrna_7KGA.pdb,32.038,0.9930414602366832,0.729,0.764,0.0,0.736,43.931,20.35,0.309,0.157,0.213,0.348,0.517,0.0,0.33,3.255,1.462,2.762,0.382,0.718
normalized_simrna_7KGA.pdb,24.981,0.0719412569659019,0.65,0.703,0.0,0.647,38.406,26.92,0.326,0.112,0.236,0.393,0.562,0.0,0.345,2.559,1.582,3.078,0.002,0.705
normalized_rnacomposer_7KGA.pdb,27.385,0.4499326397276355,0.683,0.794,0.0,0.646,40.108,25.85,0.281,0.112,0.169,0.337,0.506,0.0,0.309,2.763,1.391,1.954,0.456,0.696
normalized_trrosettarna_7KGA_2.pdb,4.231,0.0,0.625,0.725,0.0,0.638,6.769,29.04,0.635,0.191,0.506,0.854,0.989,0.0,0.626,0.372,1.389,1.865,0.624,0.768
normalized_mcsym_7KGA_5.pdb,25.83,0.161132151400574,0.543,0.327,0.0,0.643,47.541,34.71,0.253,0.112,0.18,0.247,0.472,0.0,0.245,2.644,1.924,2.864,0.004,0.631
normalized_vfold_7KGA_2.pdb,28.809,0.7470592658947457,0.604,0.756,0.0,0.552,47.692,28.97,0.264,0.124,0.191,0.281,0.461,0.0,0.278,2.959,1.474,2.102,0.002,0.691
